"Title","screens","firstDay","openingNote","firstWeekend","totalNetGross","ratings","firstWeek","budget","indiaGross","overseasGross","worldwideGross","allTimeRank","footfalls","adjustedNetGross","overseasFirstWeekend","worldwideFirstWeekend","overseasFirstWeek","worldwideFirstWeek","Release Date","Runtime","Genre"
"Calendar Girls","850","1,47,00,000",,"3,95,00,000","Total Nett Gross: 5,89,50,000","55.00% (2 Ratings)","5,85,00,000","13,00,00,000","8,19,00,000","$---","8,19,00,000","1032","$---","5,49,05,000","$---","8,13,15,000","25 Sep 2015","131 min","Drama"
"Main Aur Charles","900","1,05,00,000",,"3,51,00,000","Total Nett Gross: 5,85,00,000","0.00% (0 Ratings)","5,12,00,000","10,00,00,000","8,12,00,000","$---","8,12,00,000","1043","$---","4,87,89,000","$---","7,11,68,000","30 Oct 2015","123 min","Drama"
"Dirty Politics","1150","1,19,00,000",,"3,94,00,000","Total Nett Gross: 6,22,00,000","23.13% (8 Ratings)","5,67,00,000","11,00,00,000","8,48,00,000","$---","8,48,00,000","1000","$---","5,35,84,000","$---","7,71,12,000","6 Mar 2015","132 min","Drama"
"Guddu Rangeela","975","1,14,00,000",,"4,00,00,000","Total Nett Gross: 6,39,50,000","42.50% (6 Ratings)","5,97,00,000","20,00,00,000","8,65,00,000","$150,000","9,60,25,000","1365","$80,000","5,90,80,000","$120,000","8,82,15,000","3 Jul 2015","124 min","Drama"
"Ab Tak Chhappan 2","1450","1,36,00,000",,"4,50,00,000","Total Nett Gross: 6,90,00,000","40.00% (8 Ratings)","6,51,00,000","18,00,00,000","9,36,00,000","$---","9,36,00,000","1310","$---","6,12,00,000","$---","8,85,36,000","27 Feb 2015","106 min","Drama"
"Welcome 2 Karachi","1350","1,69,00,000",,"5,70,00,000","Total Nett Gross: 9,01,50,000","31.25% (8 Ratings)","8,32,00,000","29,00,00,000","12,07,00,000","$230,000","13,53,62,500","1285","$145,000","8,56,23,750","$200,000","12,42,38,000","29 May 2015","131 min","Comedy"
"Dharam Sankat Mein","1100","1,18,00,000",,"4,87,00,000","Total Nett Gross: 9,06,50,000","28.33% (9 Ratings)","7,52,00,000","14,00,00,000","11,98,00,000","$18,000","12,09,16,000","994","$10,000","6,49,04,000","$15,000","10,01,94,000","10 Apr 2015","129 min","Comedy"
"Dolly Ki Doli","1150","1,57,00,000",,"6,28,00,000","Total Nett Gross: 11,24,50,000","41.92% (13 Ratings)","10,25,00,000","21,00,00,000","14,82,00,000","$650,000","18,83,37,500","965","$400,000","10,75,96,000","$530,000","16,80,27,500","23 Jan 2015","100 min","Comedy"
"Khamoshiyan","1500","1,63,00,000",,"5,45,00,000","Total Nett Gross: 9,63,00,000","34.17% (12 Ratings)","8,66,00,000","12,00,00,000","12,86,00,000","$90,000","13,41,80,000","971","$60,000","7,67,50,000","$80,000","12,10,04,000","30 Jan 2015","120 min","Horror"
"All Is Well","1650","2,32,00,000",,"8,74,00,000","Total Nett Gross: 12,53,25,000","24.62% (13 Ratings)","12,10,00,000","34,00,00,000","17,29,00,000","$870,000","23,03,20,000","1234","$470,000","15,16,32,000","$690,000","21,25,20,000","21 Aug 2015","127 min","Drama"
